date,idxSubject,idxCategory,idxCd,idxNm,share,value,qtyUnit,currency
2011-06-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,860,T,USD
2011-06-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,849,T,USD
2011-06-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,845,T,USD
2011-07-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,821,T,USD
2011-07-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,817,T,USD
2011-07-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,809,T,USD
2011-07-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,800,T,USD
2011-07-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,806,T,USD
2011-08-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,823,T,USD
2011-08-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,828,T,USD
2011-08-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,832,T,USD
2011-08-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,839,T,USD
2011-09-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,833,T,USD
2011-09-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,821,T,USD
2011-09-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,793,T,USD
2011-09-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,754,T,USD
2011-09-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,734,T,USD
2011-10-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,715.5,T,USD
2011-10-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,697,T,USD
2011-10-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,677,T,USD
2011-10-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,649,T,USD
2011-11-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,613,T,USD
2011-11-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,573,T,USD
2011-11-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,540,T,USD
2011-11-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,511,T,USD
2011-12-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,500,T,USD
2011-12-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,490,T,USD
2011-12-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,499,T,USD
2011-12-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,536,T,USD
2011-12-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,701,T,USD
2012-01-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,730,T,USD
2012-01-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,733,T,USD
2012-01-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,737,T,USD
2012-01-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,730,T,USD
2012-02-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,723,T,USD
2012-02-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,721,T,USD
2012-02-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,711,T,USD
2012-02-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,826,T,USD
2012-03-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,1412,T,USD
2012-03-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,1388,T,USD
2012-03-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1379,T,USD
2012-03-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1371,T,USD
2012-03-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1660,T,USD
2012-04-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,1770,T,USD
2012-04-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,1744,T,USD
2012-04-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,1708,T,USD
2012-04-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,1888,T,USD
2012-05-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,1934,T,USD
2012-05-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,1818,T,USD
2012-05-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,1742,T,USD
2012-05-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,1711,T,USD
2012-06-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,1666,T,USD
2012-06-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,1634,T,USD
2012-06-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,1587,T,USD
2012-06-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,1549,T,USD
2012-06-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,1888,T,USD
2012-07-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,1828,T,USD
2012-07-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,1747,T,USD
2012-07-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,1667,T,USD
2012-07-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,1728,T,USD
2012-08-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,1710,T,USD
2012-08-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,1612,T,USD
2012-08-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,1505,T,USD
2012-08-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,1434,T,USD
2012-08-31,marketIdx,SCFI,EUNE,EU(Base port),0.2,1324,T,USD
2012-09-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,1284,T,USD
2012-09-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,1218,T,USD
2012-09-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,1172,T,USD
2012-09-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,1158,T,USD
2012-10-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,1135.5,T,USD
2012-10-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,1113,T,USD
2012-10-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,1074,T,USD
2012-10-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,1315,T,USD
2012-11-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,1491,T,USD
2012-11-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,1383,T,USD
2012-11-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1225,T,USD
2012-11-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1079,T,USD
2012-11-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1028,T,USD
2012-12-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,999,T,USD
2012-12-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,1350,T,USD
2012-12-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,1237,T,USD
2012-12-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,1218,T,USD
2013-01-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,1270,T,USD
2013-01-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,1418,T,USD
2013-01-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,1349,T,USD
2013-01-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,1326,T,USD
2013-02-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,1316,T,USD
2013-02-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,1301,T,USD
2013-02-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,1250,T,USD
2013-02-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,1199,T,USD
2013-03-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,1104,T,USD
2013-03-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,999,T,USD
2013-03-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,1423,T,USD
2013-03-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,1254,T,USD
2013-03-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,1140,T,USD
2013-04-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,1070,T,USD
2013-04-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,940,T,USD
2013-04-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,875,T,USD
2013-04-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,818,T,USD
2013-05-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,796,T,USD
2013-05-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,731,T,USD
2013-05-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,668,T,USD
2013-05-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,641,T,USD
2013-05-31,marketIdx,SCFI,EUNE,EU(Base port),0.2,598,T,USD
2013-06-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,558,T,USD
2013-06-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,533,T,USD
2013-06-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,514,T,USD
2013-06-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,1409,T,USD
2013-07-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,1346,T,USD
2013-07-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,1290,T,USD
2013-07-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,1240,T,USD
2013-07-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,1360,T,USD
2013-08-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,1501,T,USD
2013-08-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,1436,T,USD
2013-08-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1334,T,USD
2013-08-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1238,T,USD
2013-08-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1183,T,USD
2013-09-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,1073,T,USD
2013-09-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,966,T,USD
2013-09-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,875,T,USD
2013-09-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,765,T,USD
2013-10-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,720,T,USD
2013-10-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,675,T,USD
2013-10-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,661,T,USD
2013-10-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,670,T,USD
2013-11-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,1423,T,USD
