idx,day
100456,20210401
100457,20210402
100458,20210403
100459,20210404
100460,20210405
100461,20210406
100462,20210407
100463,20210408
100464,20210409
100465,20210410
100466,20210411
100467,20210412
100468,20210413
100469,20210414
100470,20210415
100471,20210416
100472,20210417
100473,20210418
100474,20210419
100475,20210420
100476,20210421
100477,20210422
100478,20210423
100479,20210424
100480,20210425
100481,20210426
100482,20210427
100483,20210428
100484,20210429
100485,20210430
100486,20210501
100487,20210502
100488,20210503
100489,20210504
100490,20210505
100491,20210506
100492,20210507
100493,20210508
100494,20210509
100495,20210510
100496,20210511
100497,20210512
100498,20210513
100499,20210514
100500,20210515
100501,20210516
100502,20210517
100503,20210518
100504,20210519
100505,20210520
100506,20210521
100507,20210522
100508,20210523
100509,20210524
100510,20210525
100511,20210526
100512,20210527
100513,20210528
100514,20210529
100515,20210530
100516,20210531
100517,20210601
100518,20210602
100519,20210603
100520,20210604
100521,20210605
100522,20210606
100523,20210607
100524,20210608
100525,20210609
100526,20210610
100527,20210611
100528,20210612
100529,20210613
100530,20210614
100531,20210615
100532,20210616
100533,20210617
100534,20210618
100535,20210619
100536,20210620
100537,20210621
100538,20210622
100539,20210623
100540,20210624
100541,20210625
100542,20210626
100543,20210627
100544,20210628
100545,20210629
100546,20210630
100547,20210701
100548,20210702
100549,20210703
100550,20210704
100551,20210705
100552,20210706
100553,20210707
100554,20210708
100555,20210709
100556,20210710
100557,20210711
100558,20210712
100559,20210713
100560,20210714
100561,20210715
100562,20210716
100563,20210717
100564,20210718
100565,20210719
100566,20210720
100567,20210721
100568,20210722
100569,20210723
100570,20210724
100571,20210725
100572,20210726
100573,20210727
100574,20210728
100575,20210729
100576,20210730
100577,20210731
100578,20210801
100579,20210802
100580,20210803
100581,20210804
100582,20210805
100583,20210806
100584,20210807
100585,20210808
100586,20210809
100587,20210810
100588,20210811
100589,20210812
100590,20210813
100591,20210814
100592,20210815
100593,20210816
100594,20210817
100595,20210818
100596,20210819
100597,20210820
100598,20210821
100599,20210822
100600,20210823
100601,20210824
100602,20210825
100603,20210826
100604,20210827
