idx,month
100,202001
101,202002
102,202003
103,202004
104,202005
105,202006
106,202007
107,202008
108,202009
109,202010
110,202011
111,202012
112,202101
113,202102
114,202103
115,202104
116,202105
117,202106
118,202107
119,202108
120,202109
121,202110
122,202111
123,202112
